dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,accounting,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,popOfBeneficiaryCategory,beneficiaryType,shareOfPop,link,infoText,saroAllotment
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,4/24/20,,14452659000,13556093,2504221,families,low-income families,,,,,,,,,,,12,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,14452659000,8.8995,4/27/20,0,2504221,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/1/20,82042820097,37651263650,13556093,6455906,families,low-income families,,,,,,,,,,,13,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,23198604650,14.2851,5/4/20,0,3951685,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/11/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/8/20,82174731500,61349659950,13556093,10292310,families,low-income families,,,,,,,,,,,14,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,23698396300,14.5928,5/11/20,0,3836404,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/15/20,82174731500,77552625500,13556093,12800838,families,low-income families,,,,,,,,,,,15,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16202965550,9.9773,5/18/20,0,2508528,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/25/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/22/20,82124731500,79882464500,13556093,13185426,families,low-income families,,,,,,,,,,,16,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,2329839000,1.4347,5/25/20,0,384588,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,6/1/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/29/20,82124731500,80545287000,13560746,13294442,families,low-income families,,,,,,,,,,,17,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,662822500,0.4081,6/1/20,0,109016,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,6/8/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,6/5/20,82124731500,80613745550,13560746,13307486,families,low-income families,,,,,,,,,,,18,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,68458550,0.0422,6/8/20,0,13044,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,6/15/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,6/12/20,82124731500,80663538550,13560746,13317575,families,low-income families,,,,,,,,,,,19,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,82124731500,49793000,0.0307,6/15/20,13560746,10089,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,4/20/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,,various assistance,,,80205469.95,,17232,others,requests,,,,,,,,,medical or burial assistance requests,,20,expenditure,DSWD,DSWD,social welfare,social,various assistance,Assistance to Individuals in Crisis Situation,0,80205469.95,0.0494,4/20/20,0,17232,others,,requests,,users,"This assistance covers transporation, medical, or burial costs.",0
Report to the Joint Congressional Oversight Committee,4/27/20,,3,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,,various assistance,,,104400000,,22459,others,requests,,,,,,,,,medical or burial assistance requests,,21,expenditure,DSWD,DSWD,social welfare,social,various assistance,Assistance to Individuals in Crisis Situation,0,104400000,0.0643,4/27/20,0,22459,others,,requests,,users,"This assistance covers transporation, medical, or burial costs.",0
Report to the Joint Congressional Oversight Committee,5/11/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,,various assistance,,,184739812,,43346,others,requests,,,,,,,,,medical or burial assistance requests,,22,expenditure,DSWD,DSWD,social welfare,social,various assistance,Assistance to Individuals in Crisis Situation,0,184739812,0.1138,5/11/20,0,43346,others,,requests,,users,"This assistance covers transporation, medical, or burial costs.",0
Report to the Joint Congressional Oversight Committee,5/25/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Balik Probinsya,,,cash assistance,5/20/20,,580000,,116,others,individuals,,,,,,,,,,,23,expenditure,DSWD,DSWD,social welfare,social,various assistance,Balik Probinsya Program,0,580000,0.0004,5/25/20,0,116,others,,individuals,,users,"Beneficiaries were given ₱5,000 and vegetable gardening starter kits. They will later undergo skills training and receive livelihood opportunuties.",0
Report to the Joint Congressional Oversight Committee,5/11/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,1640007000,3562102,546669,vulnerable groups,older adults,,,,,,,,,source of target beneficiary: https://www.dswd.gov.ph/issuances/AOs/AO_2020-003.pdf,,24,expenditure,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,1640007000,1.0099,5/11/20,3562102,546669,older adults,7548769,poor older adults,0.285714664,universal-access,A monthly stipend of ₱500 for older adults without pension or permanent source of income.,0
Report to the Joint Congressional Oversight Committee,5/18/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,2717703000,,905901,vulnerable groups,older adults,,,,,,,,,,,25,expenditure,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,1077696000,0.6636,5/18/20,0,359232,older adults,7548769,poor older adults,0.285714664,universal-access,A monthly stipend of ₱500 for older adults without pension or permanent source of income.,0
Report to the Joint Congressional Oversight Committee,5/25/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,3563595000,,1187865,vulnerable groups,older adults,,,,,,,,,,,26,expenditure,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,845892000,0.5209,5/25/20,0,281964,older adults,7548769,poor older adults,0.285714664,universal-access,A monthly stipend of ₱500 for older adults without pension or permanent source of income.,0
Report to the Joint Congressional Oversight Committee,6/1/20,,9,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,5152752000,,1717584,vulnerable groups,older adults,,,,,,,,,"transportation, medical, or burial assistance requests",,27,expenditure,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,1589157000,0.9786,6/1/20,0,529719,older adults,7548769,poor older adults,0.285714664,universal-access,A monthly stipend of ₱500 for older adults without pension or permanent source of income.,0
Report to the Joint Congressional Oversight Committee,6/8/20,,6,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,5561487000,,1853829,vulnerable groups,older adults,,,,,,,,,,,28,expenditure,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,408735000,0.2517,6/8/20,0,136245,older adults,7548769,poor older adults,0.285714664,universal-access,A monthly stipend of ₱500 for older adults without pension or permanent source of income.,0
Report to the Joint Congressional Oversight Committee,6/15/20,,6,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,6470382000,,2156794,vulnerable groups,older adults,,,,,,,,,,,29,expenditure,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,908895000,0.5597,6/15/20,0,302965,older adults,7548769,poor older adults,0.285714664,universal-access,A monthly stipend of ₱500 for older adults without pension or permanent source of income.,0
Report to the Joint Congressional Oversight Committee,4/6/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/3/20,,441940000,115835,88388,workers,formal workers,,,,,,,,,x workers in 6923 businesses,"discrepancy between April 6 (115,835) and 13 (115,806 beneficiaries) reports",30,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,441940000,0.2721,4/6/20,0,88388,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,4/13/20,,"4,5",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,,840000000,321975,167941,workers,formal workers,,,,,,,,,adjusted number of targets,,31,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,398060000,0.2451,4/13/20,0,79553,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,4/20/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/16/20,1600000000,1188000000,321975,237653,workers,formal workers,,,,,,,,,,,32,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,348000000,0.2143,4/20/20,0,69712,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/23/20,1746000000,1724000000,349354,344805,workers,formal workers,,,,,,,,,,,33,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,536000000,0.3301,4/27/20,0,107152,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/23/20,1500000000,205000000,135720,20500,workers,OFWs,,,,,,,,,,,34,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,205000000,0.1262,4/27/20,0,20500,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3247000000,2614000000,649354,522855,workers,formal workers,,,,,,,,,,,35,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,890000000,0.548,5/4/20,0,178050,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,1500000000,459000000,150000,44878,workers,OFWs,,,,,,,,,,,36,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,254000000,0.1564,5/4/20,0,24378,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,5/11/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3247000000,3013000000,649354,602722,workers,formal workers,,,,,,,,,,,37,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,399000000,0.2457,5/11/20,0,79867,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,5/11/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,1500000000,750000000,150000,72352,workers,OFWs,,,,,,,,,,,38,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,291000000,0.1792,5/11/20,0,27474,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,5/18/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3286000000,3247000000,657201,649573,workers,formal workers,,,,,,,,,,,39,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,0,234000000,0.1441,5/18/20,0,46851,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,5/18/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,1500000000,1167000000,150000,104574,workers,OFWs,,,,,,,,,,,40,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,417000000,0.2568,5/18/20,0,32222,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,5/25/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3286000000,3286000000,657201,657201,workers,formal workers,,,,,,,,,,,41,expenditure,DOLE,DOLE,business,business,cash,COVID-19 Adjustment Measures Program,3286000000,39000000,0.024,5/25/20,657201,7628,workers,,formal workers,,people-carry,"A one-time assistance of ₱5,000 given to displaced workers.",0
Report to the Joint Congressional Oversight Committee,5/25/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1254000000,250000,122910,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,42,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,2500000000,87000000,0.0536,5/25/20,250000,18336,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,6/1/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1316000000,250000,128538,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,43,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,62000000,0.0382,6/1/20,0,5628,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,6/8/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1452000000,250000,142039,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,44,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,136000000,0.0837,6/8/20,0,13501,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,6/15/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1568000000,250000,153322,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,45,expenditure,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,116000000,0.0714,6/15/20,0,11283,workers,2202000,overseas filipino workers,0.06962852,people-carry,"A one-time assistance of ₱10,000 given to displaced OFWs.",0
Report to the Joint Congressional Oversight Committee,4/6/20,,3,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,Tulong Panghanapbuhay sa Ating Disadvantage/Displaced Workers,TUPAD,,wage subsidy,,,54874000,193298,,workers,informal workers,,,,,,,,,no of target workers was based on April 13 report,,46,expenditure,DOLE,DOLE,labor,labor,wage subsidy,Tulong Panghanapbuhay sa Ating Displaced Workers,0,54874000,0.0338,4/6/20,0,0,workers,,informal workers,,people-carry,A provision of 10- to 30-day employment in the community for displaced or seasonal workers in the informal sector.,0
